ID,actions,rewards,treatment
574,1,0,high_entropy_tcs
574,2,0,high_entropy_veh
574,2,0,high_entropy_veh
574,2,0,high_entropy_veh
574,2,0,high_entropy_veh
574,1,0,low_entropy_tcs
574,1,0,low_entropy_tcs
574,2,1,low_entropy_veh
574,2,1,low_entropy_veh
574,2,0,mid_entropy_tcs
574,2,0,mid_entropy_tcs
574,1,1,mid_entropy_veh
574,2,0,mid_entropy_veh
574,2,1,mid_entropy_veh
574,2,1,mid_entropy_veh
574,2,1,mid_entropy_veh
575,1,0,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,0,high_entropy_tcs
575,2,0,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,0,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,1,high_entropy_tcs
575,1,1,high_entropy_tcs
