ID,sensor,tiempo,actividad,evento,exito
809,0,41103,1,0,0
809,0,41837,2,0,0
809,0,42185,3,0,0
809,0,42613,4,0,0
809,0,44057,5,1,1
809,2,44558,-1,False,0
809,2,44561,-1,False,3
809,2,44570,-1,False,12
809,2,44578,-1,False,20
809,2,44588,-1,False,30
809,2,44595,-1,False,37
809,2,44604,-1,False,46
809,2,44612,-1,True,54
809,2,44621,-1,True,63
809,2,44628,-1,True,70
809,2,44638,-1,True,80
809,2,44646,-1,True,88
809,2,44655,-1,True,97
809,2,44662,-1,True,104
809,2,44672,-1,True,114
809,2,44680,-1,True,122
809,2,44689,-1,True,131
809,2,44696,-1,True,138
809,2,44705,-1,True,147
809,2,44713,-1,True,155
809,2,44723,-1,True,165
809,2,44731,-1,True,173
809,2,44740,-1,True,182
809,2,44747,-1,True,189
809,2,44756,-1,True,198
809,2,44765,-1,True,207
809,2,44774,-1,True,216
809,2,44781,-1,True,223
809,2,44790,-1,True,232
809,2,44798,-1,True,240
809,2,44808,-1,True,250
809,2,44816,-1,True,258
809,2,44825,-1,True,267
809,2,44832,-1,True,274
809,2,44841,-1,True,283
809,2,44850,-1,True,292
809,2,44859,-1,True,301
809,2,44866,-1,True,308
809,2,44875,-1,True,317
809,2,44883,-1,True,325
809,1,45997,1,0,0
809,1,46218,2,0,0
809,1,46433,3,0,0
809,1,46643,4,0,0
809,1,48014,5,1,1
810,0,44165,1,0,0
810,0,44338,2,0,0
810,0,44981,3,0,0
810,0,45379,4,0,0
810,0,47277,5,1,1
810,2,47574,-1,False,0
810,2,47577,-1,False,3
810,2,47586,-1,False,12
810,2,47594,-1,False,20
810,2,47603,-1,False,29
810,2,47610,-1,False,36
810,2,47620,-1,False,46
810,2,47628,-1,True,54
810,2,47637,-1,True,63
810,2,47644,-1,True,70
810,2,47653,-1,True,79
810,2,47662,-1,True,88
810,2,47671,-1,True,97
810,2,47678,-1,True,104
810,2,47687,-1,True,113
810,2,47695,-1,True,121
810,2,47705,-1,True,131
810,2,47712,-1,True,138
810,2,47721,-1,True,147
810,2,47729,-1,True,155
810,2,47738,-1,True,164
810,2,47747,-1,True,173
810,2,47756,-1,True,182
810,2,47763,-1,True,189
810,2,47772,-1,True,198
810,2,47780,-1,True,206
810,2,47790,-1,True,216
810,2,47797,-1,True,223
810,2,47806,-1,True,232
810,2,47814,-1,True,240
810,2,47823,-1,True,249
810,2,47832,-1,True,258
810,2,47841,-1,True,267
810,2,47848,-1,True,274
810,2,47857,-1,True,283
810,2,47865,-1,True,291
810,2,47875,-1,True,301
810,2,47882,-1,True,308
810,2,47891,-1,True,317
810,2,47899,-1,True,325
810,2,47908,-1,True,334
810,2,47917,-1,True,343
810,2,47926,-1,True,352
810,2,47933,-1,True,359
810,2,47942,-1,True,368
810,2,47950,-1,True,376
810,2,47960,-1,True,386
810,2,47967,-1,True,393
810,2,47976,-1,True,402
810,2,47984,-1,True,410
810,2,47993,-1,True,419
810,2,48002,-1,True,428
810,1,48821,1,0,0
810,1,48997,2,0,0
810,1,49214,3,0,0
810,1,49395,4,0,0
810,1,50665,5,1,1
811,0,58937,1,0,0
811,0,59100,2,0,0
811,0,59265,3,0,0
811,0,59444,4,0,0
811,0,60681,5,1,1
811,2,60857,-1,False,0
811,2,60860,-1,False,3
811,2,60869,-1,False,12
811,2,60877,-1,False,20
811,2,60887,-1,False,30
811,2,60894,-1,False,37
811,2,60903,-1,False,46
811,2,60911,-1,True,54
811,2,60920,-1,True,63
811,2,60929,-1,True,71
811,2,60937,-1,True,80
811,2,60945,-1,True,88
811,2,60954,-1,True,97
811,2,60961,-1,True,104
811,2,60971,-1,True,114
811,2,60979,-1,True,122
811,2,60988,-1,True,131
811,2,60996,-1,True,139
811,2,61005,-1,True,148
811,2,61012,-1,True,155
811,2,61022,-1,True,165
811,2,61030,-1,True,173
811,2,61039,-1,True,182
811,2,61046,-1,True,189
811,2,61056,-1,True,199
811,2,61064,-1,True,207
811,2,61073,-1,True,216
811,2,61081,-1,True,224
811,2,61090,-1,True,233
811,2,61097,-1,True,240
811,2,61107,-1,True,250
811,2,61115,-1,True,258
811,1,61840,1,0,0
811,1,62007,2,0,0
811,1,62176,3,0,0
811,1,62334,4,0,0
811,1,63564,5,1,1
812,0,53942,1,0,0
812,0,54133,2,0,0
812,0,54321,3,0,0
812,0,54505,4,0,0
812,0,55785,5,1,1
812,2,56033,-1,False,0
812,2,56036,-1,False,3
812,2,56045,-1,False,12
812,2,56053,-1,False,20
812,2,56062,-1,False,29
812,2,56070,-1,False,37
812,2,56079,-1,False,46
812,2,56087,-1,True,54
812,2,56096,-1,True,63
812,2,56103,-1,True,70
812,2,56113,-1,True,80
812,2,56121,-1,True,88
812,2,56130,-1,True,97
812,2,56137,-1,True,104
812,2,56146,-1,True,113
812,2,56155,-1,True,122
812,2,56164,-1,True,131
812,2,56171,-1,True,138
812,2,56180,-1,True,147
812,2,56188,-1,True,155
812,2,56198,-1,True,165
812,2,56206,-1,True,173
812,2,56215,-1,True,181
812,2,56222,-1,True,189
812,2,56231,-1,True,198
812,2,56240,-1,True,207
812,2,56249,-1,True,216
812,2,56256,-1,True,223
812,2,56265,-1,True,232
812,2,56273,-1,True,240
812,2,56283,-1,True,250
812,2,56291,-1,True,258
812,2,56300,-1,True,266
812,2,56307,-1,True,274
812,2,56316,-1,True,283
812,1,57233,1,0,0
812,1,57421,2,0,0
812,1,57574,3,0,0
812,1,57754,4,0,0
812,1,59015,5,1,1
813,0,56950,1,0,0
813,0,57122,2,0,0
813,0,57313,3,0,0
813,0,57637,4,0,0
813,0,59011,5,1,1
813,2,142955,-1,False,0
813,2,142958,-1,False,3
813,2,142967,-1,False,12
813,2,142976,-1,False,21
813,2,142985,-1,False,30
813,2,142993,-1,False,38
813,2,143002,-1,False,47
813,2,143009,-1,True,54
813,2,143019,-1,True,64
813,2,143027,-1,True,72
813,2,143036,-1,True,81
813,2,143044,-1,True,89
813,2,143053,-1,True,97
813,2,143060,-1,True,105
813,2,143070,-1,True,115
813,2,143078,-1,True,123
813,2,143087,-1,True,132
813,2,143095,-1,True,140
813,2,143105,-1,True,150
813,2,143112,-1,True,157
813,2,143122,-1,True,166
813,2,143129,-1,True,174
813,2,143138,-1,True,183
813,2,143147,-1,True,192
813,2,143156,-1,True,201
813,2,143164,-1,True,209
813,2,143173,-1,True,218
813,2,143181,-1,True,226
813,2,143191,-1,True,236
813,2,143198,-1,True,243
813,2,143207,-1,True,252
813,2,143215,-1,True,260
813,2,143224,-1,True,269
813,2,143233,-1,True,278
813,2,143242,-1,True,287
813,2,143250,-1,True,295
813,2,143259,-1,True,304
813,2,143266,-1,True,311
813,2,143276,-1,True,321
813,2,143284,-1,True,329
813,2,143293,-1,True,338
813,2,143301,-1,True,346
813,2,143310,-1,True,355
813,2,143319,-1,True,364
813,2,143328,-1,True,373
813,2,143335,-1,True,380
813,2,143344,-1,True,389
813,2,143352,-1,True,397
813,2,143362,-1,True,407
813,2,143370,-1,True,415
813,2,143379,-1,True,424
813,2,143387,-1,True,432
813,2,143396,-1,True,441
813,2,143405,-1,True,449
813,2,143414,-1,True,459
813,2,143421,-1,True,466
813,2,143430,-1,True,475
813,2,143438,-1,True,483
813,1,146756,1,0,0
813,1,146959,2,0,0
813,1,147134,3,0,0
813,1,147298,4,0,0
813,1,148593,5,1,1
813,2,149090,-1,False,0
813,2,149093,-1,False,3
813,2,149102,-1,False,12
813,2,149110,-1,False,20
813,2,149120,-1,False,30
813,2,149128,-1,False,38
813,2,149137,-1,False,47
813,2,149144,-1,True,54
813,2,149153,-1,True,63
813,2,149161,-1,True,71
813,2,149171,-1,True,81
813,2,149179,-1,True,89
813,2,149188,-1,True,98
813,2,149195,-1,True,105
813,2,149204,-1,True,114
813,2,149213,-1,True,123
813,2,149222,-1,True,132
813,2,149230,-1,True,140
813,2,149239,-1,True,149
813,2,149248,-1,True,156
813,2,149257,-1,True,167
813,2,149264,-1,True,174
813,2,149273,-1,True,183
813,2,149281,-1,True,191
813,2,149291,-1,True,201
813,2,149299,-1,True,209
813,2,149308,-1,True,218
813,2,149316,-1,True,226
813,2,149325,-1,True,235
813,2,149332,-1,True,242
813,2,149342,-1,True,252
813,2,149350,-1,True,260
813,2,149359,-1,True,269
813,2,149367,-1,True,277
813,2,149377,-1,True,287
813,2,149385,-1,True,295
813,2,149394,-1,True,304
813,2,149401,-1,True,311
813,2,149410,-1,True,320
813,2,149419,-1,True,329
813,2,149428,-1,True,338
813,2,149436,-1,True,346
813,2,149445,-1,True,355
813,2,149453,-1,True,363
813,2,149463,-1,True,373
813,2,149471,-1,True,380
813,2,149480,-1,True,389
813,2,149487,-1,True,397
813,2,149496,-1,True,406
813,2,149505,-1,True,415
813,2,149514,-1,True,424
813,2,149522,-1,True,432
813,2,149531,-1,True,441
814,0,162700,1,0,0
814,0,162878,2,0,0
814,0,163036,3,0,0
814,0,163197,4,0,0
814,0,164555,5,1,1
814,2,164564,-1,False,0
814,2,164568,-1,False,4
814,2,164577,-1,False,13
814,2,164585,-1,False,21
814,2,164594,-1,False,30
814,2,164602,-1,False,38
814,2,164612,-1,False,48
814,2,164619,-1,True,55
814,2,164628,-1,True,64
814,2,164636,-1,True,72
814,2,164645,-1,True,81
814,2,164654,-1,True,90
814,2,164662,-1,True,98
814,2,164670,-1,True,106
814,2,164679,-1,True,115
814,2,164687,-1,True,123
814,2,164697,-1,True,133
814,2,164705,-1,True,141
814,2,164714,-1,True,150
814,2,164721,-1,True,157
814,2,164730,-1,True,166
814,2,164739,-1,True,175
814,2,164748,-1,True,184
