pool,n_sesion,fecha,droga,dosis,ID,hora_inicio,hora_termino,n_licometro,estimulo_spout_1,estimulo_spout_2,licks_inicio_spout_1,licks_inicio_spout_2,licks_fin_spout_1,licks_fin_spout_2,eventos_inicio_spout_1,eventos_inicio_spout_2,eventos_fin_spout_1,eventos_fin_spout_2,ml_consumidos_spout_1,ml_consumidos_spout_2
2afc_piloto,1,2023 08 08,na_na_na_na,0_0_na,548,12 10 00,13 10 00,1,sac5perc100prob,sac5perc100prob,1,1,1,1,1,1,1,1,1,1
2afc_piloto,1,2023 08 08,na_na_na_na,0_0_na,549,14 00 00,15 00 00,1,sac5perc100prob,sac5perc100prob,1,1,1,1,1,1,1,1,1,1
2afc_piloto,1,2023 08 08,na_na_na_na,0_0_na,550,15 25 00,16 25 00,1,sac5perc100prob,sac5perc100prob,1,1,1,1,1,1,1,1,1,1
2afc_piloto,2,2023 08 09,na_na_na_na,0_0_na,548,13 25 00,14 25 00,1,sac5perc100prob,sac5perc100prob,1,1,1,1,1,1,1,1,1,1
2afc_piloto,2,2023 08 09,na_na_na_na,0_0_na,549,14 55 00,15 55 00,1,sac5perc100prob,sac5perc100prob,1,1,1,1,1,1,1,1,1,1
2afc_piloto,2,2023 08 09,na_na_na_na,0_0_na,550,16 10 00,17 10 00,1,sac5perc100prob,sac5perc100prob,1,1,1,1,1,1,1,1,1,1
2afc_piloto,3,2023 08 10,na_na_na_na,0_0_na,548,13 00 00,14 00 00,1,sac5perc100prob,sac5perc100prob,1,1,1,1,1,1,1,1,1,1
2afc_piloto,3,2023 08 10,na_na_na_na,0_0_na,549,14 20 00,15 20 00,1,sac5perc100prob,sac5perc100prob,1,1,1,1,1,1,1,1,1,1
2afc_piloto,3,2023 08 10,na_na_na_na,0_0_na,550,15 45 00,16 45 00,1,sac5perc100prob,sac5perc100prob,1,1,1,1,1,1,1,1,1,1
2afc_piloto,4,2023 08 11,na_na_na_na,0_0_na,548,13 00 00,14 00 00,1,sac5perc100prob,sac5perc100prob,1,1,1,1,1,1,1,1,1,1
2afc_piloto,4,2023 08 11,na_na_na_na,0_0_na,549,14 20 00,15 40 00,1,sac5perc100prob,sac5perc100prob,1,1,1,1,1,1,1,1,1,1
2afc_piloto,4,2023 08 11,na_na_na_na,0_0_na,550,15 47 00,16 47 00,1,sac5perc100prob,sac5perc100prob,1,1,1,1,1,1,1,1,1,1
